case_id,scenario_type,A_actionability,A_reasonableness,A_replanning,A_constraint_violation,A_notes,B_actionability,B_reasonableness,B_replanning,B_constraint_violation,B_notes,preferred_output
C01,single_jd,,,N/A,,,,,N/A,,,
C02,single_jd,,,N/A,,,,,N/A,,,
C03,single_jd,,,N/A,,,,,N/A,,,
C04,multi_jd,,,N/A,,,,,N/A,,,
C05,multi_jd,,,N/A,,,,,N/A,,,
C06,multi_jd,,,N/A,,,,,N/A,,,
C07,completed,,,,,,,,,,,
C08,completed,,,,,,,,,,,
C09,partial,,,,,,,,,,,
C10,partial,,,,,,,,,,,
C11,not_completed,,,,,,,,,,,
C12,not_completed,,,,,,,,,,,
C13,target_change,,,,,,,,,,,
C14,target_change,,,,,,,,,,,
C15,long_history,,,,,,,,,,,
C16,long_history,,,,,,,,,,,
